2021-08-20A18:00:00;46,922;47,164;47,788;48,55;48,718;48,675;48,458
2021-08-20A19:00:00;47,164;47,788;48,55;48,718;48,758;48,458;48,684
2021-08-20A20:00:00;47,788;48,55;48,718;48,758;48,675;48,684;48,64
2021-08-20A21:00:00;48,55;48,718;48,758;48,675;48,458;48,64;49,322
2021-08-20A22:00:00;48,718;48,758;48,675;48,458;48,684;49,322;49,209
2021-08-20A23:00:00;48,758;48,675;48,458;48,684;48,64;49,209;49,322
2021-08-21A00:00:00;48,675;48,458;48,684;48,64;49,322;49,322;48,878
2021-08-21A01:00:00;48,458;48,684;48,64;49,322;49,209;48,878;49,035
2021-08-21A02:00:00;48,684;48,64;49,322;49,209;49,322;49,035;48,841
2021-08-21A03:00:00;48,64;49,322;49,209;49,322;48,878;48,841;48,828
2021-08-21A04:00:00;49,322;49,209;49,322;48,878;49,035;48,828;48,625
2021-08-21A05:00:00;49,209;49,322;48,878;49,035;48,841;48,625;48,836
2021-08-21A06:00:00;49,322;48,878;49,035;48,841;48,828;48,836;48,674
2021-08-21A07:00:00;48,878;49,035;48,841;48,828;48,625;48,674;48,944
2021-08-21A08:00:00;49,035;48,841;48,828;48,625;48,836;48,944;48,855
2021-08-21A09:00:00;48,841;48,828;48,625;48,836;48,674;48,855;48,798
2021-08-21A10:00:00;48,828;48,625;48,836;48,674;48,944;48,798;49,3
2021-08-21A11:00:00;48,625;48,836;48,674;48,944;48,855;49,3;48,501
2021-08-21A12:00:00;48,836;48,674;48,944;48,855;48,798;48,501;49,204
2021-08-21A13:00:00;48,674;48,944;48,855;48,798;49,3;49,204;49,12
2021-08-21A14:00:00;48,944;48,855;48,798;49,3;48,501;49,12;48,985
2021-08-21A15:00:00;48,855;48,798;49,3;48,501;49,204;48,985;49,18
2021-08-21A16:00:00;48,798;49,3;48,501;49,204;49,12;49,18;49,48
2021-08-21A17:00:00;49,3;48,501;49,204;49,12;48,985;49,48;49,647
2021-08-21A18:00:00;48,501;49,204;49,12;48,985;49,18;49,647;49,457
2021-08-21A19:00:00;49,204;49,12;48,985;49,18;49,48;49,457;48,978
2021-08-21A20:00:00;49,12;48,985;49,18;49,48;49,647;48,978;48,991
2021-08-21A21:00:00;48,985;49,18;49,48;49,647;49,457;48,991;49,14
2021-08-21A22:00:00;49,18;49,48;49,647;49,457;48,978;49,14;49,336
2021-08-21A23:00:00;49,48;49,647;49,457;48,978;48,991;49,336;48,821
2021-08-22A00:00:00;49,647;49,457;48,978;48,991;49,14;48,821;48,963
2021-08-22A01:00:00;49,457;48,978;48,991;49,14;49,336;48,963;49,025
2021-08-22A02:00:00;48,978;48,991;49,14;49,336;48,821;49,025;48,836
2021-08-22A03:00:00;48,991;49,14;49,336;48,821;48,963;48,836;48,79
2021-08-22A04:00:00;49,14;49,336;48,821;48,963;49,025;48,79;49,11
2021-08-22A05:00:00;49,336;48,821;48,963;49,025;48,836;49,11;49,129
2021-08-22A06:00:00;48,821;48,963;49,025;48,836;48,79;49,129;49,164
2021-08-22A07:00:00;48,963;49,025;48,836;48,79;49,11;49,164;49,195
2021-08-22A08:00:00;49,025;48,836;48,79;49,11;49,129;49,195;49,005
2021-08-22A09:00:00;48,836;48,79;49,11;49,129;49,164;49,005;49,218
2021-08-22A10:00:00;48,79;49,11;49,129;49,164;49,195;49,218;49,115
2021-08-22A11:00:00;49,11;49,129;49,164;49,195;49,005;49,115;49,132
2021-08-22A12:00:00;49,129;49,164;49,195;49,005;49,218;49,132;48,861
2021-08-22A13:00:00;49,164;49,195;49,005;49,218;49,115;48,861;48,861
2021-08-22A14:00:00;49,195;49,005;49,218;49,115;49,132;48,861;48,251
2021-08-22A15:00:00;49,005;49,218;49,115;49,132;48,861;48,251;48,526
2021-08-22A16:00:00;49,218;49,115;49,132;48,861;48,861;48,526;48,631
2021-08-22A17:00:00;49,115;49,132;48,861;48,861;48,251;48,631;48,677
2021-08-22A18:00:00;49,132;48,861;48,861;48,251;48,526;48,677;48,373
2021-08-22A19:00:00;48,861;48,861;48,251;48,526;48,631;48,373;48,647
