date;Op;Hi;Lo;Vo;OT
2015-03-26 00:00:00;246276001;254354004;244904999;25730000;248531998
2015-03-27 00:00:00;248565994;256811005;245212997;17274900;247029007
2015-03-28 00:00:00;246975006;254205002;246975006;16040900;252798004
2015-03-29 00:00:00;252740005;253139008;240850006;21699400;242712997
2015-03-30 00:00:00;242878998;249242004;239214005;23009600;247526001
2015-03-31 00:00:00;247453995;248729996;242738998;22672000;244223999
2015-04-01 00:00:00;244223007;247541000;241160004;22877200;247272003
2015-04-02 00:00:00;247089005;254460999;245416000;26272600;253005005
2015-04-03 00:00:00;253074005;256042999;251878998;23146600;254322006
2015-04-04 00:00:00;254291000;255257996;251100006;12493500;253697006
2015-04-05 00:00:00;253761002;260674988;251942001;19649200;260597992
2015-04-06 00:00:00;260721008;261798004;254574997;20034200;255492004
2015-04-07 00:00:00;255274002;255804993;252205002;18467400;253179993
2015-04-08 00:00:00;253063995;253847000;244214996;30086400;245022003
2015-04-09 00:00:00;244751007;246117996;239399994;21643500;243675995
2015-04-10 00:00:00;243694000;243694000;232770996;28882000;236072006
2015-04-11 00:00:00;236016006;239537003;234175003;16365200;236552002
2015-04-12 00:00:00;236535004;237727997;233494995;12387900;236153000
2015-04-13 00:00:00;235949997;236934998;221996002;31181800;224587006
2015-04-14 00:00:00;224759003;224975998;216322998;31719000;219158997
2015-04-15 00:00:00;219072998;223832993;218649002;22562000;223832993
2015-04-16 00:00:00;223917007;229671997;223917007;24805400;228572998
2015-04-17 00:00:00;228574997;228906006;221942001;20429800;222882004
2015-04-18 00:00:00;222852997;224315994;220876007;12939000;223356003
2015-04-19 00:00:00;223455994;226352997;222373001;15021500;222600006
2015-04-20 00:00:00;222612000;226350998;221977005;18364700;224626007
2015-04-21 00:00:00;224619995;235268997;224300995;24978000;235268997
2015-04-22 00:00:00;235602005;237908997;233475998;23847900;234175995
2015-04-23 00:00:00;234052994;236475006;233199005;17036000;236462006
2015-04-24 00:00:00;235970001;236304993;229932999;21448700;231268005
2015-04-25 00:00:00;231235001;232561005;226337006;13957200;226389999
2015-04-26 00:00:00;226410004;226944000;214873993;28943700;219429993
2015-04-27 00:00:00;219429001;233304993;218022995;38574000;229285995
2015-04-28 00:00:00;228968994;229494995;223069000;21469200;225854996
2015-04-29 00:00:00;225591003;227039993;223429993;18936500;225807999
2015-04-30 00:00:00;225692993;239563004;224992996;33818600;236145004
2015-05-01 00:00:00;235938995;238966003;232078995;18815300;232078995
2015-05-02 00:00:00;232341003;235727005;232341003;12535500;234929993
2015-05-03 00:00:00;234880005;243240005;234082993;18494100;240358002
2015-05-04 00:00:00;240356003;242638000;237809998;21223400;239018005
2015-05-05 00:00:00;238852005;239203995;232054001;23929100;236121002
2015-05-06 00:00:00;236248993;236453995;229231003;29587200;229781998
2015-05-07 00:00:00;229662003;239104996;228572998;29064400;237334000
2015-05-08 00:00:00;237203995;246274994;236274002;27445500;243863007
2015-05-09 00:00:00;243768997;247804001;239639008;19790500;241832001
2015-05-10 00:00:00;241729004;244067993;238848999;15019100;240296005
2015-05-11 00:00:00;240298996;244270004;239376007;20892300;242158005
2015-05-12 00:00:00;242145004;242880997;240098999;19282600;241112000
2015-05-13 00:00:00;241397995;243703995;235044998;27180100;236376999
2015-05-14 00:00:00;236214005;237798996;234057007;24413700;236929001
2015-05-15 00:00:00;236955002;238753006;236794998;16329400;237604996
2015-05-16 00:00:00;237643997;237697006;235294998;11089700;236153000
2015-05-17 00:00:00;236009995;238024994;236009995;11134300;236802002
2015-05-18 00:00:00;236886993;237210007;232460007;16780300;233128006
2015-05-19 00:00:00;233037003;234151001;231817001;14241900;231947006
2015-05-20 00:00:00;231889999;234682999;231841995;15499400;234018005
2015-05-21 00:00:00;234016006;236242004;233835007;15108900;235343994
2015-05-22 00:00:00;235320999;240968994;235059998;27003000;240348007
2015-05-23 00:00:00;240285995;241024994;238690994;14605000;238871994
2015-05-24 00:00:00;238975998;241977997;238811005;11508000;240953003
